Date,GDP251  ,GDP252  ,GDP253  ,GDP254  ,GDP255  ,GDP256  ,GDP257  ,GDP258  ,GDP259  ,GDP260  ,GDP261  ,GDP263  ,GDP264  ,GDP265  ,GDP266  ,GDP267  ,GDP268  ,GDP269  ,GDP270  ,GDP271  ,GDP272  ,GDP273  ,GDP274  ,GDP275  ,GDP276  ,GDP277  ,GDP278  ,GDP279  ,GDP280  ,GDP281  ,GDP282  ,GDP284  ,GDP285  ,GDP286  ,GDP287  ,GDP288  ,GDP289  ,GDP290  ,GDP291  ,GDP292  ,LBOUT   ,LBPUR7  ,LBMNU   ,LBLCPU  ,GDP272A,GDP273A,GDP274A,GDP274_1,GDP274_2,GDP274_3,GDP275A,GDP275_1,GDP275_2,GDP275_3,GDP275_4,GDP276A,GDP276_1,GDP276_2,GDP276_3,GDP276_4,GDP276_5,GDP276_6,GDP276_7,GDP276_8,GDP277A,GDP278A,GDP279A,GDP280A,GDP281A,GDP282A,GDP284A,GDP284_1,GDP284_2,GDP285A,GDP285_1,GDP285_2,GDP286A,GDP287A,GDP288A
2\1\1959,24.375,22.641,10.544,33.126,20.276,14.865,15.32,10.365,35.247,5.836,37.467,6.811,6.658,40.874,67.009,26.968,24.557,23.893,24.069,24.433,20.68,20.315,45.544,22.646,15.372,29.333,28.133,34.87,15.82,50.51,16.62,29.211,21.786,15.469,16.584,14.452,20.51,20.296,20.126,20.657,47.62,61.157,60.12,26.973,20.68,20.315,45.544,31.113,82.662,33.291,22.646,19.931,48.891,16.731,20.568,15.372,18.408,21.22,18.626,24.03,15.224,9.541,19.385,14.806,29.333,28.133,34.87,15.82,50.51,16.62,29.211,33.882,20.212,21.786,22.601,19.561,15.469,16.584,14.452
5\1\1959,25.016,23.025,10.954,33.413,20.671,16.121,15.817,10.682,36.332,6.014,38.796,7.038,7.002,41.499,68.614,27.042,25.002,24.541,24.523,25.072,20.711,20.365,45.721,22.694,15.408,29.448,28.24,35.068,15.913,50.794,16.632,29.239,21.82,15.425,16.488,14.473,20.539,20.326,20.156,20.688,47.927,61.672,61.271,26.878,20.711,20.365,45.721,31.325,82.894,33.226,22.694,19.898,49.04,16.925,20.719,15.408,18.53,21.323,18.704,24.18,15.394,9.627,19.589,14.593,29.448,28.24,35.068,15.913,50.794,16.632,29.239,33.7,20.582,21.82,22.672,19.53,15.425,16.488,14.473
8\1\1959,24.997,23.284,11.178,33.598,20.978,14.989,16.01,11.02,37.41,6.211,38.063,7.26,7.078,42.02,70.027,27.066,25.317,24.499,24.81,25.064,20.77,20.47,45.704,22.815,15.514,29.531,28.316,35.226,15.974,51.042,16.628,29.481,21.891,15.347,16.348,14.474,20.597,20.379,20.207,20.747,48.215,61.768,61.09,27.061,20.77,20.47,45.704,31.276,82.96,33.244,22.815,19.976,49.26,16.975,20.966,15.514,18.601,21.653,18.923,24.63,15.525,9.707,19.853,14.642,29.531,28.316,35.226,15.974,51.042,16.628,29.481,33.743,21.157,21.891,22.783,19.525,15.347,16.348,14.474
11\1\1959,25.085,23.317,10.61,33.827,21.252,15.491,15.796,10.976,37.132,6.2,36.954,7.062,6.896,41.564,69.013,26.92,25.227,24.588,24.724,25.161,20.853,20.576,45.679,22.904,15.647,29.582,28.359,35.294,15.985,51.184,16.64,29.798,22.107,15.377,16.38,14.501,20.679,20.46,20.287,20.83,48.341,61.992,61.099,27.371,20.853,20.576,45.679,31.245,82.929,33.263,22.904,19.99,49.353,17.365,21.066,15.647,18.712,21.86,19.116,24.861,15.601,9.832,20.075,14.793,29.582,28.359,35.294,15.985,51.184,16.64,29.798,34.101,21.405,22.107,23.102,19.542,15.377,16.38,14.501
2\1\1960,25.643,23.527,10.971,33.81,21.505,17.198,16.347,11.398,38.677,6.426,38.014,7.951,7.155,40.737,65.886,27.389,25.492,25.038,24.885,25.711,20.903,20.616,45.6,22.911,15.725,29.606,28.394,35.3,16.042,51.079,16.689,29.829,22.052,15.44,16.38,14.64,20.73,20.505,20.333,20.881,49.657,63.242,61.477,27.325,20.903,20.616,45.6,30.99,83.185,33.407,22.911,20.012,49.478,17.147,21.129,15.725,18.76,22.048,19.308,25.039,15.708,9.833,20.203,14.913,29.606,28.394,35.3,16.042,51.079,16.689,29.829,34.069,21.545,22.052,23.042,19.503,15.44,16.38,14.64
5\1\1960,25.515,23.817,11.224,34.205,21.711,15.443,16.017,11.574,39.133,6.54,34.888,8.455,7.201,41.067,65.633,28.058,25.731,24.84,25.047,25.587,20.995,20.73,45.525,23.061,15.831,29.657,28.451,35.335,15.945,51.361,16.752,29.789,22.069,15.497,16.427,14.709,20.823,20.598,20.427,20.972,48.66,63.235,61.585,27.889,20.995,20.73,45.525,30.792,83.343,33.516,23.061,20.22,49.739,17.142,21.13,15.831,18.808,22.208,19.46,25.205,15.74,9.992,20.278,15.061,29.657,28.451,35.335,15.945,51.361,16.752,29.789,34.021,21.524,22.069,23.049,19.54,15.497,16.427,14.709
8\1\1960,25.555,23.719,11.135,33.966,21.72,15.348,15.589,11.286,39.214,6.266,33.83,8.242,6.987,42.061,67.682,28.476,25.694,24.879,25.01,25.634,21.093,20.812,45.371,23.132,15.947,29.636,28.434,35.299,15.869,51.433,16.755,29.931,22.19,15.662,16.679,14.774,20.921,20.694,20.524,21.07,48.759,63.559,61.237,27.98,21.093,20.812,45.371,30.521,83.396,33.599,23.132,20.23,49.923,17.496,21.139,15.947,18.895,22.303,19.543,25.31,15.815,10.123,20.422,15.23,29.636,28.434,35.299,15.869,51.433,16.755,29.931,34.19,21.614,22.19,23.102,19.779,15.662,16.679,14.774
11\1\1960,25.224,23.746,10.836,33.997,21.944,13.458,15.527,11.226,40.708,6.054,33.784,8.414,6.658,42.349,67.915,28.803,25.816,24.478,25.052,25.314,21.186,20.909,45.282,23.251,16.046,29.577,28.375,35.165,15.761,51.347,16.775,29.834,22.129,15.792,16.873,14.83,21.013,20.787,20.616,21.162,48.385,63.426,60.668,28.471,21.186,20.909,45.282,30.372,83.375,33.665,23.251,20.397,50.019,17.526,21.161,16.046,18.972,22.356,19.565,25.39,15.949,10.228,20.555,15.365,29.577,28.375,35.165,15.761,51.347,16.775,29.834,34.057,21.593,22.129,22.934,19.904,15.792,16.873,14.83
2\1\1961,25.376,23.744,10.198,34.22,22.177,13.792,15.331,10.988,40.524,5.855,33.915,8.355,6.625,42.902,67.827,29.736,25.839,24.631,25.079,25.475,21.21,20.944,45.282,23.294,16.076,29.531,28.318,35.116,15.761,51.229,16.722,29.976,22.15,15.801,16.828,14.906,21.036,20.807,20.635,21.186,48.897,63.865,60.327,28.377,21.21,20.944,45.282,30.388,83.256,33.706,23.294,20.467,50.068,17.472,21.179,16.076,19.012,22.397,19.624,25.42,16.069,10.258,20.686,15.33,29.531,28.318,35.116,15.761,51.229,16.722,29.976,34.352,21.426,22.15,22.896,20.026,15.801,16.828,14.906
5\1\1961,25.853,24.1,10.414,34.579,22.581,14.828,15.557,11.216,39.843,6.135,34.037,8.239,6.709,42.999,68.443,29.537,26.117,25.13,25.383,25.941,21.249,20.94,45.517,23.171,16.137,29.544,28.338,35.08,15.793,51.069,16.787,30.37,22.119,15.888,16.872,15.045,21.076,20.831,20.659,21.226,50.591,64.787,60.187,27.974,21.249,20.94,45.517,30.739,83.275,33.745,23.171,20.377,49.969,17.018,21.193,16.137,19.11,22.451,19.675,25.477,16.217,10.28,20.737,15.362,29.544,28.338,35.08,15.793,51.069,16.787,30.37,34.878,21.569,22.119,22.801,20.103,15.888,16.872,15.045
