Short name,Mnemonic,Trans. Code,E.F.?,Description
RGDP,GDP251,5,0,"Real gross domestic product, quantity index (2000=100) , saar"
Cons,GDP252,5,0,"Real personal consumption expenditures, quantity index (2000=100) , saar"
Cons-Dur,GDP253,5,1,"Real personal consumption expenditures - durable goods , quantity index (2000=100), saar"
Cons-NonDur,GDP254,5,1,"Real personal consumption expenditures - nondurable goods, quantity index (2000=100), saar"
Cons-Serv,GDP255,5,1,"Real personal consumption expenditures - services, quantity index (2000=100) , saar"
GPDInv,GDP256,5,0,"Real gross private domestic investment, quantity index (2000=100) , saar"
FixedInv,GDP257,5,0,"Real gross private domestic investment - fixed investment, quantity index (2000=100), saar"
NonResInv,GDP258,5,0,"Real gross private domestic investment - nonresidential , quantity index (2000=100), saar"
NonResInv-struct,GDP259,5,1,"Real gross private domestic investment - nonresidential - structures, quantity"
NonResInv-Bequip,GDP260,5,1,Real gross private domestic investment - nonresidential - equipment & software
Res.Inv,GDP261,5,1,"Real gross private domestic investment - residential, quantity index (2000=100), saar"
Exports,GDP263,5,1,"Real exports, quantity index (2000=100) , saar"
Imports,GDP264,5,1,"Real imports, quantity index (2000=100) , saar"
Gov,GDP265,5,0,"Real government consumption expenditures & gross investment, quantity index (2000=100), saar"
Gov Fed,GDP266,5,1,"Real government consumption expenditures & gross investment - federal, quantity"
Gov State/Loc,GDP267,5,1,"Real government consumption expenditures & gross investment - state & local, quantity"
IP: total,IPS10,5,0,Industrial production index - total index
IP: products,IPS11,5,0,"Industrial production index - products, total"
IP: final prod,IPS299,5,0,Industrial production index - final products
IP: cons gds,IPS12,5,0,Industrial production index - consumer goods
IP: cons dble,IPS13,5,1,Industrial production index - durable consumer goods
iIP:cons nondble,IPS18,5,1,Industrial production index - nondurable consumer goods
IP:bus eqpt,IPS25,5,1,Industrial production index - business equipment
IP: matls,IPS32,5,0,Industrial production index - materials
IP: dble mats,IPS34,5,1,Industrial production index - durable goods materials
IP:nondble mats,IPS38,5,1,Industrial production index - nondurable goods materials
